ID,Year_Birth,Kidhome,Teenhome,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntOtherProds,NumStorePurchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumWebVisitsMonth,AcceptedCmp2,AcceptedCmp1,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5
5524,1957,0,0,21/11/2020,1587,2024,12558,3956,2024,2024,9,49,16,20,4,0,0,0,0,0
2174,1954,1,1,25/05/2022,253,23,138,46,23,138,6,35,2,2,2,0,0,0,0,0
5324,1981,1,0,7/04/2022,3979,989,2714,1058,621,345,15,35,10,6,6,0,0,0,0,0
965,1971,0,1,30/01/2021,5405,1495,3772,1150,1127,621,12,42,14,6,7,0,0,0,0,0
6177,1985,1,0,25/07/2021,1748,230,1288,69,23,529,6,56,8,0,4,0,0,0,0,0
387,1976,0,0,30/01/2021,138,368,253,253,23,368,3,56,4,0,3,0,0,0,0,0
2125,1959,0,0,1/02/2022,4462,1403,11040,5175,2576,690,3,14,6,8,8,0,0,0,0,0
8180,1952,1,1,1/02/2022,5359,46,1219,69,115,322,9,42,12,2,5,0,0,0,0,0
2569,1987,0,0,27/12/2020,69,322,391,138,23,115,3,56,2,0,3,0,0,0,0,0
2114,1946,0,0,10/02/2021,23138,506,2645,1357,1564,1035,3,21,14,12,12,0,1,0,0,1
9736,1980,1,1,12/03/2021,1219,115,437,46,299,92,9,56,6,0,3,0,0,0,0,0
6565,1949,0,1,14/06/2021,23276,1840,11454,0,368,4048,6,35,22,8,9,0,1,0,0,0
2278,1985,1,0,20/01/2021,92,391,437,690,552,897,6,42,4,2,3,0,0,0,0,0
9360,1982,0,0,25/10/2020,1978,46,1679,1587,874,1104,3,56,8,4,5,0,0,0,0,0
5376,1979,1,0,25/03/2021,23,23,39675,23,23,23,45,7,0,56,0,0,0,0,0,0
1993,1949,0,1,11/03/2021,19941,0,1978,0,0,437,9,56,4,6,9,0,0,0,1,0
4047,1954,0,1,30/03/2022,8832,0,2346,483,736,115,9,28,12,4,9,0,0,0,0,0
7892,1969,0,0,21/03/2021,138,92,575,345,276,299,6,49,4,2,3,0,0,0,0,0
2404,1976,1,1,13/08/2021,3979,92,690,69,138,943,12,49,10,2,4,0,0,0,0,0
9422,1989,1,0,17/08/2021,828,46,966,460,483,230,6,21,4,2,4,0,0,0,0,0
